Mod:Item:MetaData, Localized Name
thaumicbases:genLeaves:0, Golden Oak Leaves
thaumicbases:genLeaves:1, Peaceful Leaves
thaumicbases:genLeaves:2, Nether Leaves
thaumicbases:genLeaves:3, Ender Leaves
thaumicbases:genLogs:0, Peaceful Wood
thaumicbases:genLogs:1, Nether Wood
thaumicbases:genLogs:2, Ender Wood
thaumicbases:enderPlanks, Ender Wood Planks
thaumicbases:nodeManipulator, Node Manipulator
thaumicbases:nodeLinker, Node Linking Device
thaumicbases:entityDeconstructor, Entity Deconstructor
ThaumicExploration:trashJar, Oblivion Jar
ThaumicExploration:boundChest, Bound Chest
ThaumicExploration:floatCandle:0, White Floating Candle
ThaumicExploration:floatCandle:1, Orange Floating Candle
ThaumicExploration:floatCandle:2, Magenta Floating Candle
ThaumicExploration:floatCandle:3, Light Blue Floating Candle
ThaumicExploration:floatCandle:4, Yellow Floating Candle
ThaumicExploration:floatCandle:5, Lime Floating Candle
ThaumicExploration:floatCandle:6, Pink Floating Candle
ThaumicExploration:floatCandle:7, Gray Floating Candle
ThaumicExploration:floatCandle:8, Light Gray Floating Candle
ThaumicExploration:floatCandle:9, Cyan Floating Candle
ThaumicExploration:floatCandle:10, Purple Floating Candle
ThaumicExploration:floatCandle:11, Blue Floating Candle
ThaumicExploration:floatCandle:12, Brown Floating Candle
ThaumicExploration:floatCandle:13, Green Floating Candle
ThaumicExploration:floatCandle:14, Red Floating Candle
ThaumicExploration:floatCandle:15, Black Floating Candle
ThaumicExploration:meltyIce, Ice
ThaumicExploration:boundJar, Bound Jar
ThaumicExploration:thinkTankJar, Think Tank
ThaumicExploration:everfullUrn, Everfull Urn
ThaumicExploration:everburnUrn, Everburn Urn
ThaumicExploration:soulBrazier, Soul Brazier
ThaumicExploration:crucibleSouls, Crucible of Souls
ThaumicExploration:replicator, Thaumic Replicator
ThaumicHorizons:synthNode, Ethereal Shard
ThaumicHorizons:alchemite, Alchemite
ThaumicHorizons:visDynamo, Vis Dynamo
ThaumicHorizons:essentiaDynamo, Essentia Dynamo
ThaumicHorizons:nodeMonitor, Node Monitor
ThaumicHorizons:soulSieve, Soul Sieve
ThaumicHorizons:inspiratron, Inspiratron
ThaumicHorizons:soulforge, Soulforge
ThaumicHorizons:soulJar:0, Jarred  Soul
ThaumicHorizons:bloodInfuser, Seroconverter
ThaumicHorizons:vat, Curative Vat
ThaumicHorizons:vatSolid, Curative Vat
ThaumicHorizons:vatInterior, Vat Interior
ThaumicHorizons:soulBeacon, Soul Beacon
ThaumicHorizons:modMatrix, Modified Runic Matrix
ThaumicHorizons:chocolate, Block of Chocolate
ThaumicHorizons:evanescent, Evanescent
ThaumicHorizons:light, Light Orb
ThaumicHorizons:lightSolar, Light Orb
ThaumicHorizons:transductionAmplifier, Transduction Amplifier
ThaumicHorizons:recombinator, Teleological Recombinator
ThaumicHorizons:vortexStabilizer, Vortex Attenuator
ThaumicHorizons:vortexTH:0, Planar Vortex
ThaumicHorizons:vortexTH:1, Planar Vortex (Creative)
ThaumicHorizons:voidTH, Planar Boundary
ThaumicHorizons:cloudTH:0, Cloud
ThaumicHorizons:cloudTH:2, Thundercloud
ThaumicHorizons:cloudTH:3, Acid Cloud
ThaumicHorizons:cloudTH:5, Tumorous Cloud
ThaumicHorizons:cloudTH:8, Spore Cloud
ThaumicHorizons:cloudGlowingTH:1, Plasma Cloud
ThaumicHorizons:cloudGlowingTH:4, Alloy Cloud
ThaumicHorizons:cloudGlowingTH:6, Vis Cloud
ThaumicHorizons:cloudGlowingTH:7, Glyph Cloud
ThaumicHorizons:cloudGlowingTH:9, Animus Cloud
ThaumicHorizons:brainTH, Lump of Brain
ThaumicHorizons:dustTH, Dust
ThaumicHorizons:eyeTH, Eye Cluster
ThaumicHorizons:boneTH, Bone
ThaumicHorizons:fleshTH, Lump of Flesh
ThaumicHorizons:spikeTH, Metal Spike
ThaumicHorizons:spikeWoodTH, Wooden Spike
ThaumicHorizons:spikeToothTH, Tooth
ThaumicHorizons:crystalTH:0, White Crystal
ThaumicHorizons:crystalTH:1, Orange Crystal
ThaumicHorizons:crystalTH:2, Magenta Crystal
ThaumicHorizons:crystalTH:3, Light Blue Crystal
ThaumicHorizons:crystalTH:4, Yellow Crystal
ThaumicHorizons:crystalTH:5, Lime Crystal
ThaumicHorizons:crystalTH:6, Pink Crystal
ThaumicHorizons:crystalTH:7, Gray Crystal
ThaumicHorizons:crystalTH:8, Light Gray Crystal
ThaumicHorizons:crystalTH:9, Cyan Crystal
ThaumicHorizons:crystalTH:10, Purple Crystal
ThaumicHorizons:crystalTH:11, Blue Crystal
ThaumicHorizons:crystalTH:12, Brown Crystal
ThaumicHorizons:crystalTH:13, Green Crystal
ThaumicHorizons:crystalTH:14, Red Crystal
ThaumicHorizons:crystalTH:15, Black Crystal
ThaumicHorizons:crystalDeep, Deep Crystal
ThaumicHorizons:leviathanTH, Primordial Fossil
ThaumicHorizons:slotTH, Keystone Receptacle
ThaumicHorizons:portalTH, Unnamed Block, report to mod author.
ThaumicHorizons:gatewayTH, Planar Gateway
thaumicexpansion:thaumicanalyzer, Thaumic Analyzer
thaumicexpansion:arcaneApparatus, Arcane Apparatus
thaumicinsurgence:tile.arcaneMarble, Arcane Marble Block
thaumicinsurgence:tile.arcaneMarbleBrick, Arcane Marble Brick
thaumicinsurgence:infusionIntercepter, Infusion Intercepter
thaumicinsurgence:matrixAlpha, Arcane Marble Matrix
thaumicinsurgence:pillarAlpha, Arcane Marble Pillar
thaumicinsurgence:marblePedestal, Marble Pedestal
ThaumicMachina:nodeTransmodifier, Node Transmodifier
ThaumicMachina:metaphysicalBrick, Metaphysical Brick
ThaumicMachina:metaphysicalRose, Metaphysical Rose
ThermalDynamics:ThermalDynamics_0:0, Leadstone Fluxduct
ThermalDynamics:ThermalDynamics_0:1, Hardened Fluxduct
ThermalDynamics:ThermalDynamics_0:2, Redstone Energy Fluxduct
ThermalDynamics:ThermalDynamics_0:3, Redstone Energy Fluxduct (Empty)
ThermalDynamics:ThermalDynamics_0:4, Resonant Fluxduct
ThermalDynamics:ThermalDynamics_0:5, Resonant Fluxduct (Empty)
ThermalDynamics:ThermalDynamics_0:6, Cryo-Stabilized Fluxduct
ThermalDynamics:ThermalDynamics_0:7, Cryo-Stabilized Fluxduct (Empty)
ThermalDynamics:ThermalDynamics_16:0, Temperate Fluiduct
ThermalDynamics:ThermalDynamics_16:1, Temperate Fluiduct (Opaque)
ThermalDynamics:ThermalDynamics_16:2, Hardened Fluiduct
ThermalDynamics:ThermalDynamics_16:3, Hardened Fluiduct (Opaque)
ThermalDynamics:ThermalDynamics_16:4, Flux-Plated Fluiduct
ThermalDynamics:ThermalDynamics_16:5, Flux-Plated Fluiduct (Opaque)
ThermalDynamics:ThermalDynamics_16:6, Super-Laminar Fluiduct
ThermalDynamics:ThermalDynamics_16:7, Super-Laminar Fluiduct (Opaque)
ThermalDynamics:ThermalDynamics_32:0, Itemduct
ThermalDynamics:ThermalDynamics_32:1, Itemduct (Opaque)
ThermalDynamics:ThermalDynamics_32:2, Impulse Itemduct
ThermalDynamics:ThermalDynamics_32:3, Impulse Itemduct (Opaque)
ThermalDynamics:ThermalDynamics_32:4, Warp Itemduct
ThermalDynamics:ThermalDynamics_32:5, Warp Itemduct (Opaque)
ThermalDynamics:ThermalDynamics_32:6, Fluctuating Itemduct
ThermalDynamics:ThermalDynamics_32:7, Fluctuating Itemduct (Opaque)
ThermalDynamics:ThermalDynamics_48:0, Structuralduct (Opaque)
ThermalDynamics:ThermalDynamics_48:1, Luxduct
ThermalDynamics:ThermalDynamics_64:0, Viaduct
ThermalDynamics:ThermalDynamics_64:1, Long Range Viaduct
ThermalDynamics:ThermalDynamics_64:2, Long Range Linking Viaduct
ThermalDynamics:ThermalDynamics_64:3, Viaduct (Untreated)
TMechworks:RedstoneMachine:0, Drawbridge
TMechworks:RedstoneMachine:1, Igniter
TMechworks:RedstoneMachine:2, Advanced Drawbridge
TMechworks:RedstoneMachine:3, Extended Drawbridge
TMechworks:Dynamo, Dynamo
TMechworks:SignalBus, Signal Bus
TMechworks:SignalTerminal, Signal Terminal
TMechworks:MeshFilter:0, Empty Mesh Filter
TMechworks:MeshFilter:1, Wide Mesh Filter
TMechworks:MeshFilter:2, Slat Mesh Filter
TMechworks:MeshFilter:3, Mesh Filter
TMechworks:MeshFilter:4, Fine Mesh Filter
TravellersGear:armorstand, Armor Stand
WarpTheory:blockVanish, Unnamed Block, report to mod author.
waystones:waystone, Waystone
WitchingGadgets:WG_WallMirror, Mirror on the Wall
WitchingGadgets:WG_VoidWalkway, Void Walkway
WitchingGadgets:WG_StoneDevice:0, Ethereal Wall
WitchingGadgets:WG_StoneDevice:1, Magical Lock
WitchingGadgets:WG_StoneDevice:2, Obsidian Plate
WitchingGadgets:WG_StoneDevice:3, Obsidian Rune
WitchingGadgets:WG_StoneDevice:6, Sarcophagus
WitchingGadgets:WG_StoneDevice:7, Ageing Stone
WitchingGadgets:WG_WoodenDevice:0, Spinning Wheel
WitchingGadgets:WG_WoodenDevice:2, Thaumic Stone Extruder
WitchingGadgets:WG_WoodenDevice:3, Cutting Table
WitchingGadgets:WG_WoodenDevice:4, Thaumic Sauna Stove
WitchingGadgets:WG_WoodenDevice:5, Aspect Library
WitchingGadgets:WG_MetalDevice:0, Essentia Pump
WitchingGadgets:WG_MetalDevice:1, Arcane Terrestrial Reformer
WitchingGadgets:WG_MetalDevice:2, Terrestrial Focus: Plains
WitchingGadgets:WG_MetalDevice:3, Terrestrial Focus: Cold Taiga
WitchingGadgets:WG_MetalDevice:4, Terrestrial Focus: Desert
WitchingGadgets:WG_MetalDevice:5, Terrestrial Focus: Jungle
WitchingGadgets:WG_MetalDevice:6, Terrestrial Focus: Hell
WitchingGadgets:WG_MetalDevice:7, Void metal Block
WitchingGadgets:WG_MetalDevice:8, Terrestrial Focus: Tainted Lands
WitchingGadgets:WG_MetalDevice:9, Terrestrial Focus: Mushroom Island
WitchingGadgets:WG_RoseVine, Rose Vines
WitchingGadgets:WG_CustomAir, Glimmer of Light
ForgeRelocation:relocation.blockmovingrow:0, tile.relocation.blockmovingrow|0.name
MCFrames:mcframes.motor:0, Debug Frame Motor
MCFrames:mcframes.frame, Frame
IguanaTweaksTConstruct:skullBlock, tile.iguana.tcon.skull.name
academy-craft:eu_input, Energy Bridge (IC2 EU In)
academy-craft:eu_output, Energy Bridge (IC2 EU Out)
Aroma1997Core:wrench, Aromic Hammer
academy-craft:ac_Item_developerPortable, Portable Developer
academy-craft:ac_Item_inductionFactor, Ability Induction Factor
academy-craft:ac_Item_magneticCoil, High Voltage Magnetic Coil
academy-craft:ac_Item_matterUnit:0, Empty Unit
academy-craft:ac_Item_matterUnit:1, Imag Phase Liquid Unit
academy-craft:ac_Item_matrixCore:0, Basic Matrix Core
academy-craft:ac_Item_matrixCore:1, Improved Matrix Core
academy-craft:ac_Item_matrixCore:2, Advanced Matrix Core
academy-craft:ac_Item_DUMMY_ITEM, item.null.name
academy-craft:ac_Item_itemTutorial, MisakaCloud Terminal
academy-craft:ac_Item_terminalInstaller, Data Terminal
academy-craft:ac_Item_coin, Coin
academy-craft:ac_Item_magHook, Magnetic Hook
academy-craft:ac_Item_silbarn, Silicon Barn
academy-craft:ac_Item_logo, item.ac_logo.name
academy-craft:ac_Item_brainComp, Brainwave Analyzer
academy-craft:ac_Item_calcChip, Calculation Chip
academy-craft:ac_Item_constPlate, Constraint Metal Plate
academy-craft:ac_Item_convComp, Energy Converter
academy-craft:ac_Item_crystalLow, Low-purity Imag Crystal
academy-craft:ac_Item_crystalNormal, Mid-purity Imag Crystal
academy-craft:ac_Item_crystalPure, High-purity Imag Crystal
academy-craft:ac_Item_dataChip, Data Chip
academy-craft:ac_Item_infoComp, Information Processor
academy-craft:ac_Item_ingotConst, Constraint Metal Ingot
academy-craft:ac_Item_ingotImagSil, Imag Silicon Ingot
academy-craft:ac_Item_resoComp, Resonator
academy-craft:ac_Item_resoCrystal, Resonant Crystal
academy-craft:ac_Item_rfIronPlate, Reinforced Iron Plate
academy-craft:ac_Item_silPiece, Imag Silicon Piece
academy-craft:ac_Item_wafer, Imag Silicon Wafer
academy-craft:ac_Item_energyUnit, Energy Unit
academy-craft:ac_Item_windgenFan, Wind Generator Fan
academy-craft:ac_Item_needle, Needle
academy-craft:ac_MediaItem:0, LEVEL5-judgelight-
academy-craft:ac_MediaItem:1, only my railgun
academy-craft:ac_MediaItem:2, sister's noise
IC2:itemHarz, ic2.itemHarz.name
IC2:itemRubber, ic2.itemRubber.name
IC2:itemFluidCell, ic2.itemFluidCell.name
IC2:itemupgradekit:0, MFSU Upgrade Kit
IC2:itemRecipePart:0, Coil
IC2:itemRecipePart:1, Electric Motor
IC2:itemRecipePart:2, Power Unit
IC2:itemRecipePart:3, Small Power Unit
IC2:itemRecipePart:4, Crystal Memory (raw)
IC2:itemRecipePart:5, Heat Conductor
IC2:itemRecipePart:6, Copper Boiler
IC2:itemRecipePart:7, Wood Rotor Blade
IC2:itemRecipePart:8, Iron Rotor Blade
IC2:itemRecipePart:9, Carbon Rotor Blade
IC2:itemRecipePart:10, Steel Rotor Blade
IC2:itemRecipePart:11, Shaft (Iron)
IC2:itemRecipePart:12, Shaft (Refined Iron)
IC2:itemCasing:0, Copper Item Casing
IC2:itemCasing:1, Tin Item Casing
IC2:itemCasing:2, Bronze Item Casing
IC2:itemCasing:3, Gold Item Casing
IC2:itemCasing:4, Iron Item Casing
IC2:itemCasing:5, Refined Iron Item Casing
IC2:itemCasing:6, Lead Item Casing
IC2:itemCrushedOre:0, Crushed Iron Ore
IC2:itemCrushedOre:1, Crushed Copper Ore
IC2:itemCrushedOre:2, Crushed Gold Ore
IC2:itemCrushedOre:3, Crushed Tin Ore
IC2:itemCrushedOre:4, Crushed Uranium Ore
IC2:itemCrushedOre:5, Crushed Silver Ore
IC2:itemCrushedOre:6, Crushed Lead Ore
IC2:itemPurifiedCrushedOre:0, Purified Crushed Iron Ore
IC2:itemPurifiedCrushedOre:1, Purified Crushed Copper Ore
IC2:itemPurifiedCrushedOre:2, Purified Crushed Gold Ore
IC2:itemPurifiedCrushedOre:3, Purified Crushed Tin Ore
IC2:itemPurifiedCrushedOre:4, Purified Crushed Uranium Ore
IC2:itemPurifiedCrushedOre:5, Purified Crushed Silver Ore
IC2:itemPurifiedCrushedOre:6, Purified Crushed Lead Ore
IC2:itemPlates:0, Copper Plate
IC2:itemPlates:1, Tin Plate
IC2:itemPlates:2, Bronze Plate
IC2:itemPlates:3, Gold Plate
IC2:itemPlates:4, Iron Plate
IC2:itemPlates:5, Refined Iron Plate
IC2:itemPlates:6, Lead Plate
IC2:itemPlates:7, Obsidian Plate
IC2:itemPlates:8, Lapis Lazuli Plate
IC2:itemDensePlates:0, Dense Copper Plate
IC2:itemDensePlates:1, Dense Tin Plate
IC2:itemDensePlates:2, Dense Bronze Plate
IC2:itemDensePlates:3, Dense Gold Plate
IC2:itemDensePlates:4, Dense Iron Plate
IC2:itemDensePlates:5, Dense Refined Iron Plate
IC2:itemDensePlates:6, Dense Lead Plate
IC2:itemDensePlates:7, Dense Obsidian Plate
IC2:itemDensePlates:8, Dense Lapis Lazuli Plate
IC2:itemTurningBlanks:349525, Iron Turning Blank
IC2:itemTurningBlanksWood:209715, Wooden Turning Blank
IC2:itemDustSmall:0, Tiny Pile of Iron Dust
IC2:itemDustSmall:1, Tiny Pile of Copper Dust
IC2:itemDustSmall:2, Tiny Pile of Gold Dust
IC2:itemDustSmall:3, Tiny Pile of Tin Dust
IC2:itemDustSmall:4, Tiny Pile of Silver Dust
IC2:itemDustSmall:5, Tiny Pile of Lead Dust
IC2:itemDustSmall:6, Tiny Pile of Sulfur Dust
IC2:itemDustSmall:7, Tiny Pile of Lithium Dust
IC2:itemDustSmall:8, Tiny Pile of Bronze Dust
IC2:itemDustSmall:9, Tiny Pile of Lapis Dust
IC2:itemDustSmall:10, Tiny Pile of Obsidian Dust
IC2:itemDust:0, Bronze Dust
IC2:itemDust:1, Clay Dust
IC2:itemDust:2, Coal Dust
IC2:itemDust:3, Copper Dust
IC2:itemDust:4, Gold Dust
IC2:itemDust:5, Iron Dust
IC2:itemDust:6, Silver Dust
IC2:itemDust:7, Tin Dust
IC2:itemDust:8, Hydrated Coal Dust
IC2:itemDust:9, Stone Dust
IC2:itemDust:10, Lead Dust
IC2:itemDust:11, Obsidian Dust
IC2:itemDust:12, Lapis Lazuli Dust
IC2:itemDust:13, Sulfur Dust
IC2:itemDust:14, Lithium Dust
IC2:itemDust2:0, Silicon dioxide
IC2:itemDust2:1, Diamond Dust
IC2:itemDust2:2, Energium Dust
IC2:itemDust2:3, Ashes
IC2:itemIngot:0, Copper Ingot
IC2:itemIngot:1, Tin Ingot
IC2:itemIngot:2, Bronze Ingot
IC2:itemIngot:3, Refined Iron Ingot
IC2:itemIngot:4, Mixed Metal Ingot
IC2:itemIngot:5, Lead Ingot
IC2:itemIngot:6, Silver Ingot
IC2:reactorLithiumCell, ic2.reactorLithiumCell.name
IC2:itemTritiumCell, ic2.itemTritiumCell.name
IC2:itemUran, ic2.itemUran.name
IC2:itemMOX, ic2.itemMOX.name
IC2:itemPlutonium, ic2.itemPlutonium.name
IC2:itemPlutoniumSmall, ic2.itemPlutoniumSmall.name
IC2:itemUran235, ic2.itemUran235.name
IC2:itemUran235small, ic2.itemUran235small.name
IC2:itemUran238, ic2.itemUran238.name
IC2:itemFuelRod, ic2.itemFuelRod.name
IC2:itemRTGPellet, ic2.itemRTGPellet.name
IC2:itemPartCircuit, ic2.itemPartCircuit.name
IC2:itemPartCircuitAdv, ic2.itemPartCircuitAdv.name
IC2:itemPartAlloy, ic2.itemPartAlloy.name
IC2:itemPartCarbonFibre, ic2.itemPartCarbonFibre.name
IC2:itemPartCarbonMesh, ic2.itemPartCarbonMesh.name
IC2:itemPartCarbonPlate, ic2.itemPartCarbonPlate.name
IC2:itemOreIridium, ic2.itemOreIridium.name
IC2:itemPartIridium, ic2.itemPartIridium.name
IC2:itemShardIridium, ic2.itemShardIridium.name
IC2:itemTreetap, ic2.itemTreetap.name
IC2:itemToolBronzePickaxe, ic2.itemToolBronzePickaxe.name
IC2:itemToolBronzeAxe, ic2.itemToolBronzeAxe.name
IC2:itemToolBronzeSword, ic2.itemToolBronzeSword.name
IC2:itemToolBronzeSpade, ic2.itemToolBronzeSpade.name
IC2:itemToolBronzeHoe, ic2.itemToolBronzeHoe.name
IC2:itemToolWrench, ic2.itemToolWrench.name
IC2:itemToolCutter, ic2.itemToolCutter.name
IC2:itemFoamSprayer, ic2.itemFoamSprayer.name
IC2:itemToolbox, ic2.itemToolbox.name
IC2:itemContainmentbox, ic2.itemContainmentbox.name
IC2:itemToolForgeHammer, ic2.itemToolForgeHammer.name
IC2:itemLathingTool, ic2.itemLathingTool.name
IC2:itemcrystalmemory, ic2.itemcrystalmemory.name
IC2:itemToolDrill, ic2.itemToolDrill.name
IC2:itemToolDDrill, ic2.itemToolDDrill.name
IC2:itemToolIridiumDrill, ic2.itemToolIridiumDrill.name
IC2:itemToolChainsaw, ic2.itemToolChainsaw.name
IC2:itemToolWrenchElectric, ic2.itemToolWrenchElectric.name
IC2:itemTreetapElectric, ic2.itemTreetapElectric.name
IC2:itemToolMiningLaser, ic2.itemToolMiningLaser.name
IC2:itemToolMEter, ic2.itemToolMEter.name
IC2:itemScanner, ic2.itemScanner.name
IC2:itemScannerAdv, ic2.itemScannerAdv.name
IC2:obscurator, ic2.obscurator.name
IC2:itemFreq, ic2.itemFreq.name
IC2:itemNanoSaber, ic2.itemNanoSaber.name
IC2:plasmaLauncher, ic2.plasmaLauncher.name
IC2:windmeter, ic2.windmeter.name
IC2:itemArmorHazmatHelmet, ic2.itemArmorHazmatHelmet.name
IC2:itemArmorHazmatChestplate, ic2.itemArmorHazmatChestplate.name
IC2:itemArmorHazmatLeggings, ic2.itemArmorHazmatLeggings.name
IC2:itemArmorRubBoots, ic2.itemArmorRubBoots.name
IC2:itemArmorBronzeHelmet, ic2.itemArmorBronzeHelmet.name
IC2:itemArmorBronzeChestplate, ic2.itemArmorBronzeChestplate.name
IC2:itemArmorBronzeLegs, ic2.itemArmorBronzeLegs.name
IC2:itemArmorBronzeBoots, ic2.itemArmorBronzeBoots.name
IC2:itemArmorAlloyChestplate, ic2.itemArmorAlloyChestplate.name
IC2:itemArmorNanoHelmet, ic2.itemArmorNanoHelmet.name
IC2:itemArmorNanoChestplate, ic2.itemArmorNanoChestplate.name
IC2:itemArmorNanoLegs, ic2.itemArmorNanoLegs.name
IC2:itemArmorNanoBoots, ic2.itemArmorNanoBoots.name
IC2:itemArmorQuantumHelmet, ic2.itemArmorQuantumHelmet.name
IC2:itemArmorQuantumChestplate, ic2.itemArmorQuantumChestplate.name
IC2:itemArmorQuantumLegs, ic2.itemArmorQuantumLegs.name
IC2:itemArmorQuantumBoots, ic2.itemArmorQuantumBoots.name
IC2:itemArmorJetpack, ic2.itemArmorJetpack.name
IC2:itemArmorJetpackElectric, ic2.itemArmorJetpackElectric.name
IC2:itemArmorBatpack, ic2.itemArmorBatpack.name
IC2:itemArmorAdvBatpack, ic2.itemArmorAdvBatpack.name
IC2:itemArmorEnergypack, ic2.itemArmorEnergypack.name
IC2:itemArmorCFPack, ic2.itemArmorCFPack.name
IC2:itemSolarHelmet, ic2.itemSolarHelmet.name
IC2:itemStaticBoots, ic2.itemStaticBoots.name
IC2:itemNightvisionGoggles, ic2.itemNightvisionGoggles.name
IC2:itemBatREDischarged, ic2.itemBatREDischarged.name
IC2:itemBatRE, ic2.itemBatRE.name
IC2:itemAdvBat, ic2.itemAdvBat.name
IC2:itemBatCrystal, ic2.itemBatCrystal.name
IC2:itemBatLamaCrystal, ic2.itemBatLamaCrystal.name
IC2:itemBatSU, ic2.itemBatSU.name
IC2:itemBatChargeRE, ic2.itemBatChargeRE.name
IC2:itemBatChargeAdv, ic2.itemBatChargeAdv.name
IC2:itemBatChargeCrystal, ic2.itemBatChargeCrystal.name
IC2:itemBatChargeLamaCrystal, ic2.itemBatChargeLamaCrystal.name
IC2:itemCable:0, Insulated Copper Cable
IC2:itemCable:1, Copper Cable
IC2:itemCable:2, Gold Cable
IC2:itemCable:3, Insulated Gold Cable
IC2:itemCable:5, HV Cable
IC2:itemCable:6, Insulated HV Cable
IC2:itemCable:9, Glass Fibre Cable
IC2:itemCable:10, Tin Cable
IC2:itemCable:11, EU-Detector Cable
IC2:itemCable:12, EU-Splitter Cable
IC2:itemCable:13, Insulated Tin Cable
IC2:itemCellEmpty:0, Empty Cell
IC2:itemCellEmpty:1, Water Cell
IC2:itemCellEmpty:2, Lava Cell
IC2:itemCellEmpty:3, UuMatter Cell
IC2:itemCellEmpty:4, Construction Foam Cell
IC2:itemCellEmpty:5, Compressed Air Cell
IC2:itemCellEmpty:6, Biomass Cell
IC2:itemCellEmpty:7, Biogas Cell
IC2:itemCellEmpty:8, Electrolyzed Water Cell
IC2:itemCellEmpty:9, Coolant Cell
IC2:itemCellEmpty:10, Hot Coolant Cell
IC2:itemCellEmpty:11, Pahoehoe Lava Cell
IC2:itemCellEmpty:12, Distilled Water Cell
IC2:itemCellEmpty:13, Superheated Steam Cell
IC2:itemCellEmpty:14, Steam Cell
IC2:itemTinCan, ic2.itemTinCan.name
IC2:itemTinCanFilled, ic2.itemTinCanFilled.name
IC2:reactorMOXSimple, ic2.reactorMOXSimple.name
IC2:reactorMOXDual, ic2.reactorMOXDual.name
IC2:reactorMOXQuad, ic2.reactorMOXQuad.name
IC2:reactorUraniumSimple, ic2.reactorUraniumSimple.name
IC2:reactorUraniumDual, ic2.reactorUraniumDual.name
IC2:reactorUraniumQuad, ic2.reactorUraniumQuad.name
IC2:reactorMOXSimpledepleted, ic2.reactorMOXSimpledepleted.name
IC2:reactorMOXDualdepleted, ic2.reactorMOXDualdepleted.name
IC2:reactorMOXQuaddepleted, ic2.reactorMOXQuaddepleted.name
IC2:reactorUraniumSimpledepleted, ic2.reactorUraniumSimpledepleted.name
IC2:reactorUraniumDualdepleted, ic2.reactorUraniumDualdepleted.name
IC2:reactorUraniumQuaddepleted, ic2.reactorUraniumQuaddepleted.name
IC2:reactorCoolantSimple, ic2.reactorCoolantSimple.name
IC2:reactorCoolantTriple, ic2.reactorCoolantTriple.name
IC2:reactorCoolantSix, ic2.reactorCoolantSix.name
IC2:reactorPlating, ic2.reactorPlating.name
IC2:reactorPlatingHeat, ic2.reactorPlatingHeat.name
IC2:reactorPlatingExplosive, ic2.reactorPlatingExplosive.name
IC2:reactorHeatSwitch, ic2.reactorHeatSwitch.name
IC2:reactorHeatSwitchCore, ic2.reactorHeatSwitchCore.name
IC2:reactorHeatSwitchSpread, ic2.reactorHeatSwitchSpread.name
IC2:reactorHeatSwitchDiamond, ic2.reactorHeatSwitchDiamond.name
IC2:reactorVent, ic2.reactorVent.name
IC2:reactorVentCore, ic2.reactorVentCore.name
IC2:reactorVentGold, ic2.reactorVentGold.name
IC2:reactorVentSpread, ic2.reactorVentSpread.name
IC2:reactorVentDiamond, ic2.reactorVentDiamond.name
IC2:reactorReflector, ic2.reactorReflector.name
IC2:reactorReflectorThick, ic2.reactorReflectorThick.name
IC2:reactorCondensator, ic2.reactorCondensator.name
IC2:reactorCondensatorLap, ic2.reactorCondensatorLap.name
IC2:itemTFBP, ic2.itemTFBP.name
IC2:itemTFBPCultivation, ic2.itemTFBPCultivation.name
IC2:itemTFBPIrrigation, ic2.itemTFBPIrrigation.name
IC2:itemTFBPChilling, ic2.itemTFBPChilling.name
IC2:itemTFBPDesertification, ic2.itemTFBPDesertification.name
IC2:itemTFBPFlatification, ic2.itemTFBPFlatification.name
IC2:itemTFBPMushroom, ic2.itemTFBPMushroom.name
IC2:itemPartCoalBall, ic2.itemPartCoalBall.name
IC2:itemPartCoalBlock, ic2.itemPartCoalBlock.name
IC2:itemPartCoalChunk, ic2.itemPartCoalChunk.name
IC2:itemPartIndustrialDiamond, ic2.itemPartIndustrialDiamond.name
IC2:itemSlag, ic2.itemSlag.name
IC2:itemScrap, ic2.itemScrap.name
IC2:itemScrapbox, ic2.itemScrapbox.name
IC2:itemFuelPlantBall, ic2.itemFuelPlantBall.name
IC2:itemBiochaff, ic2.itemBiochaff.name
IC2:itemToolPainter, ic2.itemToolPainter.name
IC2:itemToolPainterBlack, ic2.itemToolPainterBlack.name
IC2:itemToolPainterRed, ic2.itemToolPainterRed.name
IC2:itemToolPainterGreen, ic2.itemToolPainterGreen.name
IC2:itemToolPainterBrown, ic2.itemToolPainterBrown.name
IC2:itemToolPainterBlue, ic2.itemToolPainterBlue.name
IC2:itemToolPainterPurple, ic2.itemToolPainterPurple.name
IC2:itemToolPainterCyan, ic2.itemToolPainterCyan.name
IC2:itemToolPainterLightGrey, ic2.itemToolPainterLightGrey.name
IC2:itemToolPainterDarkGrey, ic2.itemToolPainterDarkGrey.name
IC2:itemToolPainterPink, ic2.itemToolPainterPink.name
IC2:itemToolPainterLime, ic2.itemToolPainterLime.name
IC2:itemToolPainterYellow, ic2.itemToolPainterYellow.name
IC2:itemToolPainterCloud, ic2.itemToolPainterCloud.name
IC2:itemToolPainterMagenta, ic2.itemToolPainterMagenta.name
IC2:itemToolPainterOrange, ic2.itemToolPainterOrange.name
IC2:itemToolPainterWhite, ic2.itemToolPainterWhite.name
IC2:itemDynamite, ic2.itemDynamite.name
IC2:itemDynamiteSticky, ic2.itemDynamiteSticky.name
IC2:itemRemote, ic2.itemRemote.name
IC2:upgradeModule:0, Overclocker Upgrade
IC2:upgradeModule:1, Transformer Upgrade
IC2:upgradeModule:2, Energy Storage Upgrade
IC2:upgradeModule:3, Ejector Upgrade
